"Status","Feature","Detail"
"PASS","Waitlist","Joined waitlist"
"PASS","Contact","Message received"
"PASS","FAQ","count=3"
"PASS","Blog","count=1"
"PASS","ContentPage","Chính sách bảo mật"
"PASS","BillingPlans","free,combo,premium"
"PASS","Resources","count=2"
"PASS","AuthRegister","chk2080941197@hiremate.local"
"PASS","AuthLogin","roles=User"
"PASS","AuthMe","premium=False"
"FAIL","AuthForgotReset","The remote server returned an error: (400) Bad Request."
"PASS","Onboarding","completed"
"PASS","Profile","Lập trình viên Frontend"
"PASS","InterviewSTAR","score=76 S=85"
"PASS","InterviewHistory","count=1"
"PASS","SuggestedAnswer","provider=heuristic"
"PASS","Dashboard","avg=76 remain=2"
"PASS","CvUploadAnalyze","format=72 provider=heuristic"
"PASS","JdMatch","score=74"
"PASS","EmailGenerate","provider=heuristic"
"PASS","Career/memory","ok"
"PASS","Career/profile","ok"
"PASS","Career/progress","ok"
"PASS","Career/development","ok"
"PASS","Career/path","ok"
"PASS","Career/learning","ok"
"PASS","BillingCheckout","invoice=HM-20260726-3362 amount=71100"
"PASS","BillingInvoices","count=1"
"PASS","Referral","HM19453B64"
"PASS","Badges","count=4"
"PASS","Leaderboard","count=2"
"PASS","Benchmark","myAvg=76"
"PASS","AdminAnalytics","regs=11"
"PASS","AdminUsers","count=11"
"PASS","AdminRevenue","mrr=142200.00"
"PASS","University","students=1 org=FPT University Demo"
"PASS","Enterprise","TechCorp Demo"
"PASS","AdminForbidden","403 as expected"
